name,label,f_c,cs,n_k,w_j,d_j,b_j,d_g,w_k,d_k,d_kf,d_t,s_k,d_s,Rdia,t_e
M0.5-D-K3-1,1,30.2,0.5,3,900,500,250,20,50,100,50,200,150,50,12,0
M0.5-D-K3-2,2,53.5,0.5,3,900,500,250,20,50,100,50,200,150,50,12,0
M1-D-K3-1,3,35.7,1,3,900,500,250,20,50,100,50,200,150,50,12,0
M1-D-K3-2,4,35.2,1,3,900,500,250,20,50,100,50,200,150,50,12,0
M1-D-K3-3,5,42.2,1,3,900,500,250,20,50,100,50,200,150,50,12,0
M1.5-D-K3,6,59.1,1.5,3,900,500,250,20,50,100,50,200,150,50,12,0
M2-D-K3,7,63.7,2,3,900,500,250,20,50,100,50,200,150,50,12,0
K2-01,8,41.85,1,2,500,350,100,25,35,100,50,200,150,50,12,0
K2-02,9,41.85,2,2,500,350,100,25,35,100,50,200,150,50,12,0
K2-03,10,42.46,1,2,500,350,100,25,35,100,50,200,170,40,12,0
K2-04,11,42.46,1,2,500,350,100,25,35,100,50,200,190,30,12,0
K3-01,12,41.82,1,3,600,500,100,25,35,100,50,200,150,50,12,0
K3-02,13,41.82,2,3,600,500,100,25,35,100,50,200,150,50,12,0
K3-N7-F-0.5,14,58.335,0.5,3,500,500,100,25,35,100,50,200,150,50,16,0
K3-N7-F-1.0,15,58.335,1,3,500,500,100,25,35,100,50,200,150,50,16,0
K3-N7-F-2.0,16,58.335,2,3,500,500,100,25,35,100,50,200,150,50,16,0
K3-H5-0.5-a,17,54,0.5,3,500,500,100,25,35,100,50,200,150,50,16,0
K3-H5-0.5-b,18,54,0.5,3,500,500,100,25,35,100,50,200,150,50,16,0
K3-H5-1.0-a,19,54,1,3,500,500,100,25,35,100,50,200,150,50,16,0
K3-H5-1.0-b,20,54,1,3,500,500,100,25,35,100,50,200,150,50,16,0
K3-H5-2.0-a,21,54,2,3,500,500,100,25,35,100,50,200,150,50,16,0
K3-H5-2.0-b,22,54,2,3,500,500,100,25,35,100,50,200,150,50,16,0
K3-H7-0.5-a,23,61.9,0.5,3,500,500,100,25,35,100,50,200,150,50,16,0
K3-H7-0.5-b,24,61.9,0.5,3,500,500,100,25,35,100,50,200,150,50,16,0
K3-H7-1.0-a,25,61.9,1,3,500,500,100,25,35,100,50,200,150,50,16,0
K3-H7-1.0-b,26,61.9,1,3,500,500,100,25,35,100,50,200,150,50,16,0
K3-H7-2.0-a,27,61.9,2,3,500,500,100,25,35,100,50,200,150,50,16,0
K3-H7-2.0-a,28,61.9,2,3,500,500,100,25,35,100,50,200,150,50,16,0
B4,29,26.32,1,2,500,500,200,25,35,100,50,200,240,80,16,0
B5,30,32.16,2,2,500,500,200,25,35,100,50,200,240,80,16,0
B6,31,32.32,3,2,500,500,200,25,35,100,50,200,240,80,16,0
