name,label,f_c,cs,n_k,w_j,d_j,b_j,d_g,w_k,d_k,d_kf,d_t,s_k,d_s,Rdia,t_e
KF1-A,1,45.2312,3.4475,1,254,152.4,76.2,12.7,31.75,98.425,60.325,127,0,26.9875,15.875,0
KF2-A,2,49.43715,3.4475,1,254,152.4,76.2,12.7,31.75,98.425,60.325,127,0,26.9875,15.875,0
KF4-A,3,46.886,0.6895,1,254,152.4,76.2,12.7,31.75,98.425,60.325,127,0,26.9875,15.875,0
KF10-A,4,56.33215,0.6895,1,254,152.4,76.2,12.7,31.75,98.425,60.325,127,0,26.9875,15.875,0
KF11-A,5,53.6431,3.4475,1,254,152.4,76.2,12.7,31.75,98.425,60.325,127,0,26.9875,15.875,0
K100DR-1,6,47.23075,0.6895,1,254,152.4,76.2,12.7,31.75,98.425,60.325,127,0,26.9875,15.875,0
K100DR-2,7,48.4029,0.6895,1,254,152.4,76.2,12.7,31.75,98.425,60.325,127,0,26.9875,15.875,0
K100DR-3,8,46.886,0.6895,1,254,152.4,76.2,12.7,31.75,98.425,60.325,127,0,26.9875,15.875,0
K100DR-4,9,56.33215,0.6895,1,254,152.4,76.2,12.7,31.75,98.425,60.325,127,0,26.9875,15.875,0
K200DR-1,10,55.470275,1.379,1,254,152.4,76.2,12.7,31.75,98.425,60.325,127,0,26.9875,15.875,0
K200DR-2,11,49.10619,1.379,1,254,152.4,76.2,12.7,31.75,98.425,60.325,127,0,26.9875,15.875,0
K300DR-1,12,55.470275,2.0685,1,254,152.4,76.2,12.7,31.75,98.425,60.325,127,0,26.9875,15.875,0
K300DR-2,13,43.78325,2.0685,1,254,152.4,76.2,12.7,31.75,98.425,60.325,127,0,26.9875,15.875,0
K300DR-3,14,40.6805,2.0685,1,254,152.4,76.2,12.7,31.75,98.425,60.325,127,0,26.9875,15.875,0
K500DR-1,15,47.23075,3.4475,1,254,152.4,76.2,12.7,31.75,98.425,60.325,127,0,26.9875,15.875,0
K500DR-2,16,47.5755,3.4475,1,254,152.4,76.2,12.7,31.75,98.425,60.325,127,0,26.9875,15.875,0
K500DR-3,17,49.43715,3.4475,1,254,152.4,76.2,12.7,31.75,98.425,60.325,127,0,26.9875,15.875,0
K500DR-4,18,49.644,3.4475,1,254,152.4,76.2,12.7,31.75,98.425,60.325,127,0,26.9875,15.875,0
K500DR-5,19,53.6431,3.4475,1,254,152.4,76.2,12.7,31.75,98.425,60.325,127,0,26.9875,15.875,0
M1-D-K1-1,20,38.7,1,1,500,200,250,20,50,100,50,200,0,50,12,0
M1-D-K1-2,21,50,1,1,500,200,250,20,50,100,50,200,0,50,12,0
M2-D-K1-1,22,56.2,2,1,500,200,250,20,50,100,50,200,0,50,12,0
M2-D-K1-2,23,59.6,2,1,500,200,250,20,50,100,50,200,0,50,12,0
M3-D-K1-1,24,80.1,3,1,500,200,250,20,50,100,50,200,0,50,12,0
M3-D-K1-2,25,48.8,3,1,500,200,250,20,50,100,50,200,0,50,12,0
M4-D-K1-1,26,37.1,4,1,500,200,250,20,50,100,50,200,0,50,12,0
M4-D-K1-2,27,36.7,4,1,500,200,250,20,50,100,50,200,0,50,12,0
M4.5-D-K1,28,37.7,4.5,1,500,200,250,20,50,100,50,200,0,50,12,0
S45-H10-P1,29,64,1,1,300,170,100,25,10,70,50,140,0,50,10,0
S45-H10-P2,30,64,2,1,300,170,100,25,10,70,50,140,0,50,10,0
S45-H10-P3,31,64,3,1,300,170,100,25,10,70,50,140,0,50,10,0
S45-H20-P1,32,64,1,1,300,170,100,25,20,70,30,140,0,50,10,0
S45-H20-P2,33,64,2,1,300,170,100,25,20,70,30,140,0,50,10,0
S45-H20-P3,34,64,3,1,300,170,100,25,20,70,30,140,0,50,10,0
S60-H10-P1,35,64,1,1,300,170,100,25,10,70,58.5,140,0,50,10,0
S60-H10-P2,36,64,2,1,300,170,100,25,10,70,58.5,140,0,50,10,0
S60-H10-P3,37,64,3,1,300,170,100,25,10,70,58.5,140,0,50,10,0
S60-H20-P1,38,64,1,1,300,170,100,25,20,70,46.9,140,0,50,10,0
S60-H20-P2,39,64,2,1,300,170,100,25,20,70,46.9,140,0,50,10,0
S60-H20-P3,40,64,3,1,300,170,100,25,20,70,46.9,140,0,50,10,0
